Anexos;[R];*;[I];Etapa atual;CAMPUS;Coligada do alarme;Código atendente alarmado;Coligada do representante;Representante;GRUPO ATENDIMENTO ATUAL;CODTIPOCURSO;TIPOCURSO;CURSO;PLETIVO;RELACIONADO1;SITUACAOALARME1;IMGSTATUS1;ANEXO1;Atendimento;Cliente;Código do Cliente;Tipo cliente;Coligada do cliente;Status;Etapa atual;Classificação;Assunto;Categoria;Descrição do produto;Atendente responsável;Prazo limite final;Prioridade;Abertura;Fechamento;Coligada;Localidade;Código do atendimento;Código do atendente responsável;Coligada do responsável;Código de classificação;Coligada do produto;Produto;Detalhe do produto;Categoria geral;Grupo de atendimento;Tipo de atendimento;Código da etapa atual;Campanha;Grupo/Fila;TIPO_ABERTURA
ANEXO;;Z;F;APROVADO;;;;;;;;;;;';Z;F;ANEXO;1-1-8000066;ALPHA COMERCIO LTDA;CF14865126;CLIENTE;1;Concluído confirmado;APROVADO;GERAL;Aprovação de Movimentos;;;ANA CARDOSO AZEVEDO;;Normal;27/04/2026 05:59;;1;1;8000066;1098;1;00001;;;;;66;1776;5641;; ;PRESECIAL
ANEXO;;Z;R;Execução da solicitação;Secretaria Acadêmica;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Psicologia;2026/1;';Z;R;ANEXO;1-1-8000009;BRUNO ALMEIDA ANDRADE;FR107868;ALUNO;1;Concluído a responder;Execução da solicitação;FR - Faculdade de Recife;Solicitação Abono de Falta;FR - Faculdade de Recife;Serviço de Protocolo - FR;BRUNO CARDOSO AZEVEDO;;;18/04/2026 08:06;;1;1;8000009;5196;1;00023;1;72;001;14;49;868;177;; ;WEB
Z;;Z;F;CONCLUÍDO;CECC;;;;;;45;CENTRO EDUCACIONAL CATÓLICA DE CURITIBA - CECC;ENSINO FUNDAMENTAL II;2026;';Z;F;Z;1-1-8000010;CARLA ALMEIDA ANDRADE;88279236;ALUNO;1;Concluído confirmado;CONCLUÍDO;Colégio Católica de Curitiba;CECC - 2ª Chamada de Prova;CECC - Protocolo;CECC - Protocolo de Solicitação;CARLA CARDOSO AZEVEDO;;;02/04/2026 05:38;11/04/2026 09:23;1;1;8000010;795;1;00028;1;75;01;17;64;1609;4770;; ;WEB
ANEXO;;Z;C;Abertura de Atendimento para Aprovação sem Orçamen;;;;;;;;;;;';Z;C;ANEXO;1-1-8000034;;;;;Cancelado;Abertura de Atendimento para Aprovação sem Orçamen;GERAL;Aprovação de Movimentos;;;DANIEL CARDOSO AZEVEDO;;Normal;23/04/2026 05:32;01/05/2026 06:50;1;1;8000034;5612;1;00001;;;;;66;1775;5633;; ;PRESECIAL
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;42;GRADUAÇÃO - CATÓLICA.;EDUCAÇÃO FÍSICA;2026/2;';Z;F;ANEXO;1-1-8000011;DANIEL ALMEIDA ANDRADE;UC88961217;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;30/05/2026 07:23;05/06/2026 13:05;1;1;8000011;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;42;GRADUAÇÃO - CATÓLICA.;EDUCAÇÃO FÍSICA;2026/2;';Z;F;ANEXO;1-1-8000007;DANIEL ALMEIDA ANDRADE;UC23902203;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;03/06/2026 09:04;13/06/2026 10:08;1;1;8000007;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;37;GRADUAÇÃO - CATÓLICA;DIREITO;2026/1;';Z;F;ANEXO;1-1-8000053;ELISA ALMEIDA ANDRADE;UC07783208;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;18/05/2026 07:24;27/05/2026 15:10;1;1;8000053;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;ENGENHARIA ELÉTRICA;2026/1;';Z;F;ANEXO;1-1-8000098;FELIPE ALMEIDA ANDRADE;A75728291;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Entrega de TCE;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;29/03/2026 06:03;07/04/2026 13:00;1;1;8000098;795;1;00017;1;64;001;8;48;782;1921;; ;WEB
Z;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;2026/1;';Z;F;Z;1-1-8000085;GABRIELA ALMEIDA ANDRADE;A16811681;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Declaração de Valores Pagos;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;05/05/2026 07:04;06/05/2026 10:34;1;1;8000085;795;1;00017;1;64;001;8;33;1093;2499;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;37;GRADUAÇÃO - CATÓLICA;MEDICINA VETERINÁRIA;2026/1;';Z;F;ANEXO;1-1-8000104;HENRIQUE ALMEIDA ANDRADE;UC91086038;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;15/05/2026 10:29;20/05/2026 10:35;1;1;8000104;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
